date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns
2022_07_19,FALSE,channel1,FF06996897,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE
2022_07_27,FALSE,channel1,FF06997070,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A6,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HCN3CDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NVP_0801_AHCN3CDMXY,400,200,20,1000,20000,,,,TRUE
2022_07_18,FALSE,channel1,FF06997173,rna,rna,nuclei,channel1,pbmc,*,SI-TT-B10,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE
2022_07_08,FALSE,channel1,FF06997178,rna,rna,nuclei,channel1,pbmc,*,SI-TT-G4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,1000,20000,,,,TRUE
2022_07_19,FALSE,channel1,FF06997418,rna,rna,nuclei,channel1,pbmc,*,SI-TT-F11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE
2022_07_07,FALSE,channel1,FF06997429,rna,rna,nuclei,channel1,pbmc,*,SI-TT-H7,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,1000,20000,,,,TRUE
2022_07_20,FALSE,channel1,FF06997472,rna,rna,nuclei,channel1,pbmc,*,SI-TT-E12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE
2022_03_24,FALSE,channel1,FF06997485,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D11,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,H3CNLDRX2,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220401_SL-NVN_0674_AH3CNLDRX2,400,200,20,1000,20000,,,,TRUE
2022_07_20,FALSE,channel1,FF06997503,rna,rna,nuclei,channel1,pbmc,*,SI-TT-A12,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HVG7JDSX3,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220803_SL-NSH_0972_AHVG7JDSX3,400,200,20,1000,20000,,,,TRUE
2022_06_28,FALSE,channel1,FF06997531,rna,rna,nuclei,channel1,pbmc,*,SI-TT-D4,FINNGEN,FINNGEN,GRCh38-2020-A,ARC-v1,HC77YDMXY,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/220715_SL-NVC_0971_AHC77YDMXY,400,200,20,1000,20000,,,,TRUE
