date,run_pipeline,Channel Name,sampleid,method,sub_method,condition,replicate,tissue,Lane,Index,project,project_orig,reference,chemistry,flowcell,seq_dir,min_umis,min_genes,percent_mito,cellbender_expected_cells,cellbender_total_droplets_included,focus,append,calc_signature_scores,introns
2023_02_26,TRUE,channel1,FF04677819,atac,atac,nuclei,channel1,pbmc,*,SI-NA-A12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_26,TRUE,channel1,FF04677826,atac,atac,nuclei,channel1,pbmc,*,SI-NA-H12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_26,TRUE,channel1,FF04677871,atac,atac,nuclei,channel1,pbmc,*,SI-NA-B9,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_26,TRUE,channel1,FF04677912,atac,atac,nuclei,channel1,pbmc,*,SI-NA-H10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_26,TRUE,channel1,FF04677929,atac,atac,nuclei,channel1,pbmc,*,SI-NA-G12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_26,TRUE,channel1,FF04678006,atac,atac,nuclei,channel1,pbmc,*,SI-NA-E12,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_26,TRUE,channel1,FF04678012,atac,atac,nuclei,channel1,pbmc,*,SI-NA-D10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_26,TRUE,channel1,FF04678019,atac,atac,nuclei,channel1,pbmc,*,SI-NA-G10,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCMCJDSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0579_BHCMCJDSX5,400,200,20,1000,20000,,,,TRUE
2023_02_26,TRUE,channel1,FF04678035,atac,atac,nuclei,channel1,pbmc,*,SI-NA-C8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCN33DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0580_AHCN33DSX5,400,200,20,1000,20000,,,,TRUE
2023_02_26,TRUE,channel1,FF04678051,atac,atac,nuclei,channel1,pbmc,*,SI-NA-B8,FINNGEN,FINNGEN,GRCh38-2020-A_arc_v2.0.0,ARC-v1,HCN33DSX5,gs://fc-secure-d4adbbf9-8265-4a5c-b14f-23a5f1b5c4f9/bcls/230226_SL-NVY_0580_AHCN33DSX5,400,200,20,1000,20000,,,,TRUE
